Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,DispatchNs,BeginNs,EndNs,CompleteNs
123,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,169,258074,258074,4194304,256,61440,0,128,16,48,64,0x0,0x7f81fbf18680,5233300420986826,5233300513576569,5233300536516711,5233300536521541
124,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,171,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300536562888,5233300536578309,5233300536625189,5233300536626397
125,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,172,258074,258074,4194304,256,61440,0,128,16,48,64,0x0,0x7f81fbf18680,5233300536629943,5233300536638309,5233300559594131,5233300559659410
126,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,173,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300536642557,5233300559594131,5233300559770131,5233300559772161
127,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,175,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300536675429,5233300559783571,5233300559830451,5233300559833466
128,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,176,258074,258074,4194304,256,61440,0,128,16,48,64,0x0,0x7f81fbf18680,5233300536725492,5233300559830451,5233300582793793,5233300582795466
129,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,178,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300536754406,5233300582804993,5233300582981313,5233300582982436
130,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,180,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300536782349,5233300582993473,5233300583040673,5233300583041947
131,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,181,258074,258074,4194304,256,61440,0,128,16,48,64,0x0,0x7f81fbf18680,5233300536830579,5233300583040690,5233300605991553,5233300605996703
132,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,183,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300536860405,5233300606002911,5233300606177471,5233300606178954
133,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,185,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300536887024,5233300606189471,5233300606235871,5233300606237293
134,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,186,258074,258074,4194304,256,61440,0,128,16,48,64,0x0,0x7f81fbf18680,5233300536937839,5233300606235871,5233300629182093,5233300629183624
135,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,188,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300536966323,5233300629193453,5233300629372013,5233300629373238
136,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,190,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300536990378,5233300629384173,5233300629432173,5233300629434673
137,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,191,258074,258074,4194304,256,61440,0,128,16,48,64,0x0,0x7f81fbf18680,5233300537040051,5233300629432173,5233300652381595,5233300652383088
138,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,193,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300652561511,5233300652578555,5233300652625595,5233300652626974
139,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,194,258074,258074,4194304,256,40960,0,116,20,32,64,0x0,0x7f81fbf08680,5233300658108226,5233300658123774,5233300681114638,5233300681183398
